start_name,end_name,time_seconds
天文研究所,鴻經館,87
鴻經館,天文研究所,87
天文研究所,客家學院,124
客家學院,天文研究所,124
天文研究所,科五館(S5),65
科五館(S5),天文研究所,65
天文研究所,理學院教學館(普化實驗大樓),35
理學院教學館(普化實驗大樓),天文研究所,35
天文研究所,科三館,65
科三館,天文研究所,65
中央大學郵局,敦煌書局,36
敦煌書局,中央大學郵局,36
中央大學郵局,宿舍服務中心,35
宿舍服務中心,中央大學郵局,35
中央大學郵局,男三舍,102
男三舍,中央大學郵局,102
中央大學郵局,男五舍,61
男五舍,中央大學郵局,61
中央大學郵局,男六舍,99
男六舍,中央大學郵局,99
中央大學郵局,男七舍,74
男七舍,中央大學郵局,74
中央大學郵局,男十一舍,30
男十一舍,中央大學郵局,30
中央大學郵局,女十四舍,27
女十四舍,中央大學郵局,27
中央大學郵局,國際學生宿舍,41
國際學生宿舍,中央大學郵局,41
中央大學郵局,志道樓,62
志道樓,中央大學郵局,62
中央大學郵局,OK超商,87
OK超商,中央大學郵局,87
中央大學郵局,饕客滷味,100
饕客滷味,中央大學郵局,100
中央大學郵局,香城燒臘,117
香城燒臘,中央大學郵局,117
中央大學郵局,小豬滷味,121
小豬滷味,中央大學郵局,121
中央大學郵局,微笑轉角,114
微笑轉角,中央大學郵局,114
中央大學郵局,霸王,109
霸王,中央大學郵局,109
中央大學郵局,咖哩老師,103
咖哩老師,中央大學郵局,103
中央大學郵局,山頂洞人,100
山頂洞人,中央大學郵局,100
中央大學郵局,小惡魔,95
小惡魔,中央大學郵局,95
中央大學郵局,粥王,91
粥王,中央大學郵局,91
中央大學郵局,銀河炒飯,89
銀河炒飯,中央大學郵局,89
中央大學郵局,一品鍋,79
一品鍋,中央大學郵局,79
中央大學郵局,無敵蛋餅,91
無敵蛋餅,中央大學郵局,91
中央大學郵局,包子饅頭,91
包子饅頭,中央大學郵局,91
中央大學郵局,花茶大師,92
花茶大師,中央大學郵局,92
中央大學郵局,鬼島漢堡,109
鬼島漢堡,中央大學郵局,109
中央大學郵局,雞排車,112
雞排車,中央大學郵局,112
中央大學郵局,一億園,108
一億園,中央大學郵局,108
中央大學郵局,夏克奶茶,106
夏克奶茶,中央大學郵局,106
中央大學郵局,東東生鮮手工大水餃,102
東東生鮮手工大水餃,中央大學郵局,102
中央大學郵局,美味王,90
美味王,中央大學郵局,90
中央大學郵局,滿食記燒肉丼飯,94
滿食記燒肉丼飯,中央大學郵局,94
中央大學郵局,Enf-健康輕食餐,96
Enf-健康輕食餐,中央大學郵局,96
中央大學郵局,饌食園,97
饌食園,中央大學郵局,97
中央大學郵局,香恬園,81
香恬園,中央大學郵局,81
中央大學郵局,宵夜屋自助餐,82
宵夜屋自助餐,中央大學郵局,82
中央大學郵局,來來炒飯,84
來來炒飯,中央大學郵局,84
中央大學郵局,喬慧素食,83
喬慧素食,中央大學郵局,83
中央大學郵局,7餐(松果餐廳),71
7餐(松果餐廳),中央大學郵局,71
中央大學郵局,Ticket Toast 提齊熱壓吐司,124
Ticket Toast 提齊熱壓吐司,中央大學郵局,124
中央大學郵局,Main蛋,80
Main蛋,中央大學郵局,80
敦煌書局,宿舍服務中心,63
宿舍服務中心,敦煌書局,63
敦煌書局,男五舍,53
男五舍,敦煌書局,53
敦煌書局,男六舍,73
男六舍,敦煌書局,73
敦煌書局,男七舍,41
男七舍,敦煌書局,41
敦煌書局,男十一舍,11
男十一舍,敦煌書局,11
敦煌書局,女十四舍,51
女十四舍,敦煌書局,51
敦煌書局,國際學生宿舍,70
國際學生宿舍,敦煌書局,70
敦煌書局,志道樓,95
志道樓,敦煌書局,95
敦煌書局,OK超商,113
OK超商,敦煌書局,113
敦煌書局,饕客滷味,123
饕客滷味,敦煌書局,123
敦煌書局,咖哩老師,122
咖哩老師,敦煌書局,122
敦煌書局,山頂洞人,120
山頂洞人,敦煌書局,120
敦煌書局,小惡魔,117
小惡魔,敦煌書局,117
敦煌書局,粥王,115
粥王,敦煌書局,115
敦煌書局,銀河炒飯,113
銀河炒飯,敦煌書局,113
敦煌書局,一品鍋,108
一品鍋,敦煌書局,108
敦煌書局,無敵蛋餅,120
無敵蛋餅,敦煌書局,120
敦煌書局,包子饅頭,120
包子饅頭,敦煌書局,120
敦煌書局,花茶大師,120
花茶大師,敦煌書局,120
敦煌書局,美味王,114
美味王,敦煌書局,114
敦煌書局,滿食記燒肉丼飯,121
滿食記燒肉丼飯,敦煌書局,121
敦煌書局,Enf-健康輕食餐,122
Enf-健康輕食餐,敦煌書局,122
敦煌書局,饌食園,122
饌食園,敦煌書局,122
敦煌書局,香恬園,109
香恬園,敦煌書局,109
敦煌書局,宵夜屋自助餐,110
宵夜屋自助餐,敦煌書局,110
敦煌書局,來來炒飯,111
來來炒飯,敦煌書局,111
敦煌書局,喬慧素食,110
喬慧素食,敦煌書局,110
敦煌書局,7餐(松果餐廳),38
7餐(松果餐廳),敦煌書局,38
敦煌書局,Main蛋,108
Main蛋,敦煌書局,108
中央大學警衛室,觀景台,95
觀景台,中央大學警衛室,95
中央大學警衛室,中央大學圖書館,105
中央大學圖書館,中央大學警衛室,105
中央大學警衛室,文學二館,83
文學二館,中央大學警衛室,83
中央大學警衛室,文學一館,91
文學一館,中央大學警衛室,91
中央大學警衛室,總圖書館,122
總圖書館,中央大學警衛室,122
中央大學警衛室,人文社會科學大樓,46
人文社會科學大樓,中央大學警衛室,46
中央大學警衛室,行政大樓,73
行政大樓,中央大學警衛室,73
中央大學警衛室,香米便當,114
香米便當,中央大學警衛室,114
中央大學後門,工程一館,95
工程一館,中央大學後門,95
中央大學後門,通訊系,64
通訊系,中央大學後門,64
中央大學後門,電機系,81
電機系,中央大學後門,81
中央大學後門,女一舍,52
女一舍,中央大學後門,52
中央大學後門,女二舍,29
女二舍,中央大學後門,29
中央大學後門,女三舍,58
女三舍,中央大學後門,58
中央大學後門,女四舍,48
女四舍,中央大學後門,48
中央大學後門,單一舍,96
單一舍,中央大學後門,96
中央大學後門,單二舍,95
單二舍,中央大學後門,95
中央大學後門,單四舍,113
單四舍,中央大學後門,113
中央大學後門,漢堡王,107
漢堡王,中央大學後門,107
中央大學後門,全家便利商店(中大店),110
全家便利商店(中大店),中央大學後門,110
中央大學後門,麥味登,98
麥味登,中央大學後門,98
中央大學後門,松院餐廳,108
松院餐廳,中央大學後門,108
中央大學後門,路易莎咖啡,103
路易莎咖啡,中央大學後門,103
觀景台,中央大學圖書館,77
中央大學圖書館,觀景台,77
觀景台,文學二館,123
文學二館,觀景台,123
觀景台,總圖書館,111
總圖書館,觀景台,111
觀景台,地球科學院,99
地球科學院,觀景台,99
觀景台,大講堂,72
大講堂,觀景台,72
觀景台,行政大樓,54
行政大樓,觀景台,54
觀景台,據德樓,110
據德樓,觀景台,110
中央大學圖書館,文學二館,69
文學二館,中央大學圖書館,69
中央大學圖書館,文學一館,114
文學一館,中央大學圖書館,114
中央大學圖書館,第二行政中心,88
第二行政中心,中央大學圖書館,88
中央大學圖書館,總圖書館,34
總圖書館,中央大學圖書館,34
中央大學圖書館,地球科學院,70
地球科學院,中央大學圖書館,70
中央大學圖書館,人文社會科學大樓,119
人文社會科學大樓,中央大學圖書館,119
中央大學圖書館,行政大樓,35
行政大樓,中央大學圖書館,35
中大湖,湖心亭,36
湖心亭,中大湖,36
中大湖,國鼎光電大樓,100
國鼎光電大樓,中大湖,100
中大湖,科學四館,90
科學四館,中大湖,90
中大湖,科學二館(理學院大樓),65
科學二館(理學院大樓),中大湖,65
中大湖,鴻經館,105
鴻經館,中大湖,105
中大湖,綜教館(語言中心),110
綜教館(語言中心),中大湖,110
中大湖,客家學院,110
客家學院,中大湖,110
中大湖,理學院教學館(普化實驗大樓),114
理學院教學館(普化實驗大樓),中大湖,114
中大湖,科三館,59
科三館,中大湖,59
湖心亭,國鼎光電大樓,114
國鼎光電大樓,湖心亭,114
湖心亭,科學四館,54
科學四館,湖心亭,54
湖心亭,科學二館(理學院大樓),86
科學二館(理學院大樓),湖心亭,86
湖心亭,鴻經館,89
鴻經館,湖心亭,89
湖心亭,綜教館(語言中心),112
綜教館(語言中心),湖心亭,112
湖心亭,客家學院,103
客家學院,湖心亭,103
湖心亭,科五館(S5),102
科五館(S5),湖心亭,102
湖心亭,理學院教學館(普化實驗大樓),82
理學院教學館(普化實驗大樓),湖心亭,82
湖心亭,科三館,42
科三館,湖心亭,42
宿舍服務中心,地球科學院,117
地球科學院,宿舍服務中心,117
宿舍服務中心,男三舍,107
男三舍,宿舍服務中心,107
宿舍服務中心,男五舍,56
男五舍,宿舍服務中心,56
宿舍服務中心,男六舍,105
男六舍,宿舍服務中心,105
宿舍服務中心,男七舍,91
男七舍,宿舍服務中心,91
宿舍服務中心,男十一舍,52
男十一舍,宿舍服務中心,52
宿舍服務中心,女十四舍,56
女十四舍,宿舍服務中心,56
宿舍服務中心,國際學生宿舍,10
國際學生宿舍,宿舍服務中心,10
宿舍服務中心,志道樓,72
志道樓,宿舍服務中心,72
宿舍服務中心,OK超商,103
OK超商,宿舍服務中心,103
宿舍服務中心,饕客滷味,118
饕客滷味,宿舍服務中心,118
宿舍服務中心,山頂洞人,122
山頂洞人,宿舍服務中心,122
宿舍服務中心,小惡魔,116
小惡魔,宿舍服務中心,116
宿舍服務中心,粥王,110
粥王,宿舍服務中心,110
宿舍服務中心,銀河炒飯,108
銀河炒飯,宿舍服務中心,108
宿舍服務中心,一品鍋,92
一品鍋,宿舍服務中心,92
宿舍服務中心,無敵蛋餅,103
無敵蛋餅,宿舍服務中心,103
宿舍服務中心,包子饅頭,104
包子饅頭,宿舍服務中心,104
